__contest__,__group__,BIB,ID,WithStatus([AUTORANK.p]),DisplayName,GenderTI,Swim,Transition1,Bike,Transition2,Run,TIME
#1_Half Distance Triathlon,,122,219,16.,"O'Connor, Liam",Open,41:43,02:33,3:16:57,03:27,1:42:29,5:47:09
#1_Half Distance Triathlon,,51,57,17.,"Brassil, Cian",Open,30:05,02:10,3:16:35,02:24,1:56:06,5:47:20
#1_Half Distance Triathlon,,192,164,18.,"Lopez, Jorge",Open,30:28,01:46,3:13:36,01:26,2:01:02,5:48:18
#1_Half Distance Triathlon,,88,157,19.,"Lalor, Tom",Open,37:44,01:40,3:14:27,02:09,1:56:49,5:52:49
#1_Half Distance Triathlon,,37,195,20.,"Mullane, Danny",Open,29:16,02:28,3:18:08,02:10,2:01:49,5:53:51
#1_Half Distance Triathlon,,54,241,21.,"Ritchie, Joshua",Open,35:13,02:02,3:17:34,01:03,1:59:04,5:54:56
#1_Half Distance Triathlon,,167,228,22.,"Osullivan, Oisin",Open,28:03,01:35,3:11:50,02:10,2:12:06,5:55:44
#1_Half Distance Triathlon,,179,255,23.,"Sleith, Gary",Open,39:41,02:44,3:17:41,02:46,1:54:00,5:56:52
#1_Half Distance Triathlon,,14,239,24.,"Reid, Wayne",Open,28:33,04:22,3:19:12,02:08,2:06:38,6:00:53
#1_Half Distance Triathlon,,93,153,25.,"Keyes, Luka",Open,34:58,04:50,3:30:15,02:52,1:48:21,6:01:16
#1_Half Distance Triathlon,,142,103,26.,"Drury, David",Open,39:23,01:37,3:20:11,02:03,1:59:12,6:02:26
#1_Half Distance Triathlon,,110,13,27.,"Houlihan, Orla",Female,36:15,01:49,3:36:23,01:12,1:47:07,6:02:46
#1_Half Distance Triathlon,,127,102,28.,"Doyle, Kevin",Open,39:01,01:18,3:14:58,03:00,2:05:29,6:03:46
#1_Half Distance Triathlon,,43,140,29.,"Hyland, Paul",Open,41:18,04:01,3:04:51,01:57,2:12:18,6:04:25
#1_Half Distance Triathlon,,156,248,30.,"Savage, Jack",Open,34:17,03:51,3:21:55,02:57,2:04:29,6:07:29
#1_Half Distance Triathlon,,75,162,31.,"Leonard, Clem",Open,37:26,02:02,3:21:29,01:54,2:04:42,6:07:33
#1_Half Distance Triathlon,,216,169,32.,"Mackey, Tim",Open,31:32,03:49,3:30:34,01:40,2:00:38,6:08:13
#1_Half Distance Triathlon,,211,204,33.,"Murray, Henry",Open,39:36,02:29,3:31:31,02:08,1:52:43,6:08:27
#1_Half Distance Triathlon,,67,234,34.,"Power, Declan",Open,33:16,02:17,3:17:37,01:39,2:14:11,6:09:00
#1_Half Distance Triathlon,,183,254,35.,"Skillington, Keelin",Open,39:05,02:33,3:26:25,02:04,1:59:20,6:09:27
#1_Half Distance Triathlon,,59,156,36.,"Kuwik, Artur",Open,39:49,02:11,3:23:25,02:03,2:03:10,6:10:38
#1_Half Distance Triathlon,,61,257,37.,"Strods, Andis",Open,31:02,04:11,3:13:00,00:26,2:22:34,6:11:13
#1_Half Distance Triathlon,,50,155,38.,"Kinane, Andrew",Open,31:44,03:16,3:18:30,02:48,2:15:26,6:11:44
#1_Half Distance Triathlon,,118,99,39.,"Doolan, Colm",Open,48:04,01:37,3:31:33,02:40,1:49:06,6:13:00
#1_Half Distance Triathlon,,172,115,40.,"Forde, Ronan",Open,38:56,02:10,3:12:44,04:24,2:16:58,6:15:12
#1_Half Distance Triathlon,,178,93,41.,"de Boer, Vincent",Open,33:29,02:41,3:29:46,01:32,2:08:24,6:15:52
#1_Half Distance Triathlon,,134,24,42.,"Lungu, Natalia",Female,43:52,04:09,3:35:57,02:16,1:49:43,6:15:57
#1_Half Distance Triathlon,,94,119,43.,"Garry, Daniel",Open,36:44,02:57,3:17:47,03:12,2:15:25,6:16:05
#1_Half Distance Triathlon,,152,222,44.,"O'Donoghue, Oran",Open,35:04,02:15,3:28:28,02:25,2:08:59,6:17:11
#1_Half Distance Triathlon,,185,64,45.,"Butler, Fintan",Open,37:33,03:14,3:33:38,02:40,2:02:58,6:20:03
#1_Half Distance Triathlon,,9,231,46.,"Pereira, Jean Ibsen",Open,41:16,03:29,3:31:12,01:50,2:03:17,6:21:04
#1_Half Distance Triathlon,,90,212,47.,"O Laoi, Ciaran",Open,39:18,02:47,3:34:02,01:13,2:03:59,6:21:19
#1_Half Distance Triathlon,,112,128,48.,"Hayes, Stan",Open,37:02,04:39,3:40:18,00:28,1:59:43,6:22:10
#1_Half Distance Triathlon,,194,148,49.,"Kelly, Ollie",Open,39:16,01:48,3:11:28,01:08,2:28:48,6:22:28
#1_Half Distance Triathlon,,143,52,50.,"Boucher, Craig",Open,35:47,03:30,3:27:56,02:12,2:13:31,6:22:56
#1_Half Distance Triathlon,,129,89,51.,"Dalrymple, Johnny",Open,48:16,05:40,3:34:00,03:09,1:53:29,6:24:34
#1_Half Distance Triathlon,,64,139,52.,"Hurley, Brian",Open,37:53,01:43,3:15:14,00:52,2:31:09,6:26:51
#1_Half Distance Triathlon,,96,12,53.,"Heslin, Andree",Female,33:12,03:22,3:37:55,01:53,2:10:52,6:27:14
#1_Half Distance Triathlon,,120,47,54.,"Arjun, Kamir",Open,34:35,01:39,3:49:20,01:31,2:00:49,6:27:54
#1_Half Distance Triathlon,,81,258,55.,"Swan, Robert",Open,34:32,03:22,3:31:35,03:10,2:17:55,6:30:34
#1_Half Distance Triathlon,,49,187,56.,"McNally, Colm",Open,41:20,03:04,3:40:36,04:57,2:00:59,6:30:56
#1_Half Distance Triathlon,,204,144,57.,"Karcak, Juraj",Open,39:51,03:43,3:18:24,03:06,2:26:07,6:31:11
#1_Half Distance Triathlon,,80,62,58.,"Buckley, Anthony",Open,36:41,02:25,3:46:25,02:16,2:04:03,6:31:50
#1_Half Distance Triathlon,,191,236,59.,"Quirke, Colm",Open,28:14,03:35,3:27:42,03:38,2:28:58,6:32:07
#1_Half Distance Triathlon,,36,44,60.,"Whelan, Ava",Female,41:51,02:16,3:32:19,02:37,2:13:45,6:32:48
#1_Half Distance Triathlon,,84,265,61.,"Walsh, Jack",Open,39:37,04:06,3:41:20,02:34,2:05:34,6:33:11
#1_Half Distance Triathlon,,162,188,62.,"McSwiggan, Sam",Open,46:18,07:21,3:36:22,03:05,2:01:16,6:34:22
#1_Half Distance Triathlon,,25,202,63.,"Murphy, Dan",Open,52:07,10:31,3:31:21,03:52,1:59:19,6:37:10
#1_Half Distance Triathlon,,34,246,64.,"Ryan, Keith",Open,44:52,01:30,3:40:27,06:11,2:04:30,6:37:30
#1_Half Distance Triathlon,,214,31,65.,"O Reilly, Deirdre",Female,42:22,04:00,3:35:53,02:19,2:13:10,6:37:44
#1_Half Distance Triathlon,,220,9,66.,"Duggan McSweeney, Aoife",Female,31:34,01:50,3:56:24,05:47,2:03:01,6:38:36
#1_Half Distance Triathlon,,83,208,67.,"Noonan, Conor",Open,41:38,03:25,3:21:03,02:35,2:30:13,6:38:54
#1_Half Distance Triathlon,,182,170,68.,"Macnab, Colin",Open,40:42,02:54,3:36:58,01:39,2:18:06,6:40:19
#1_Half Distance Triathlon,,221,66,69.,"Byrne, Neil",Open,37:43,03:26,3:42:00,01:24,2:16:28,6:41:01
#1_Half Distance Triathlon,,189,71,70.,"Carolan, David",Open,39:58,03:36,3:26:16,03:07,2:28:48,6:41:45
#1_Half Distance Triathlon,,38,35,71.,"Owens, Laura",Female,39:33,02:14,3:41:25,03:00,2:15:40,6:41:52
#1_Half Distance Triathlon,,114,161,72.,"Lehane, Alan",Open,59:39,02:47,3:27:30,02:45,2:09:14,6:41:55
#1_Half Distance Triathlon,,153,209,73.,"Nowak, Artur",Open,40:32,02:51,3:38:31,01:12,2:19:39,6:42:45
#1_Half Distance Triathlon,,161,97,74.,"Donnelly, Aidan",Open,39:19,05:55,3:40:28,05:31,2:12:08,6:43:21
#1_Half Distance Triathlon,,111,243,75.,"Roche, Conor",Open,32:00,02:48,3:53:31,02:22,2:15:25,6:46:06
#1_Half Distance Triathlon,,45,192,76.,"Mooney, Darragh",Open,44:41,06:13,3:51:56,03:44,2:00:12,6:46:46
#1_Half Distance Triathlon,,86,90,77.,"D'Alton, Joshua",Open,39:57,03:46,3:49:15,03:18,2:10:58,6:47:14
#1_Half Distance Triathlon,,21,163,78.,"Leonard, Stephen",Open,48:19,01:37,3:42:35,03:33,2:11:19,6:47:23
#1_Half Distance Triathlon,,109,229,79.,"Panneman, Thijs",Open,42:19,05:08,3:45:18,06:00,2:09:17,6:48:02
#1_Half Distance Triathlon,,209,260,80.,"Tighe, Gordon",Open,41:00,03:46,3:30:49,06:13,2:26:23,6:48:11
#1_Half Distance Triathlon,,65,59,81.,"Broderick, Terry",Open,52:31,03:32,3:27:58,03:48,2:21:30,6:49:19
#1_Half Distance Triathlon,,102,77,82.,"Clover, Jim",Open,36:13,04:39,3:34:19,03:32,2:31:13,6:49:56
#1_Half Distance Triathlon,,213,268,83.,"Walsh, Christopher",Open,42:45,10:34,3:43:11,03:46,2:10:22,6:50:38
#1_Half Distance Triathlon,,299,20,84.,"Kehoe, Nicola",Female,12:55,00:25,3:56:41,01:19,2:39:55,6:51:15
#1_Half Distance Triathlon,,104,5,85.,"Cronin, Rachel",Female,47:59,04:44,3:40:05,03:02,2:15:43,6:51:33
#1_Half Distance Triathlon,,6,197,86.,"Mulvaney, Peter",Open,45:12,04:43,3:42:08,03:39,2:16:08,6:51:50
#1_Half Distance Triathlon,,159,244,87.,"Roeloffs, Ewout",Open,39:33,03:55,3:30:26,01:33,2:37:37,6:53:04
#1_Half Distance Triathlon,,18,129,88.,"Henderson, John",Open,56:49,03:22,3:43:31,02:41,2:06:49,6:53:12
#1_Half Distance Triathlon,,85,251,89.,"Sheehan, Gerard",Open,42:18,10:45,3:56:05,06:19,1:58:05,6:53:32
#1_Half Distance Triathlon,,217,159,90.,"Le Masney, Eoin",Open,39:48,12:29,4:05:36,06:53,1:49:33,6:54:19
#1_Half Distance Triathlon,,44,152,91.,"Kerrigan, Martin",Open,39:35,03:56,3:43:43,03:07,2:24:20,6:54:41
#1_Half Distance Triathlon,,13,184,92.,"McIlwaine, Peter",Open,33:30,04:04,3:52:44,02:05,2:22:21,6:54:44
#1_Half Distance Triathlon,,46,284,93.,"Alcock, Tony",,44:50,06:07,3:43:21,02:24,2:18:26,6:55:08
#1_Half Distance Triathlon,,92,261,94.,"Tome, Jose Pedro",Open,39:38,03:33,3:55:40,04:01,2:12:21,6:55:13
#1_Half Distance Triathlon,,137,186,95.,"McLoughlin, Ruairi",Open,39:17,02:40,4:01:41,02:37,2:10:46,6:57:01
#1_Half Distance Triathlon,,74,237,96.,"Rafferty, Daniel",Open,35:00,05:18,3:45:48,04:46,2:26:17,6:57:09
#1_Half Distance Triathlon,,201,131,97.,"Hennessy, Ceallach",Open,48:04,03:36,3:55:47,02:39,2:08:15,6:58:21
#1_Half Distance Triathlon,,5,216,98.,"O’Brien, Ian",Open,43:57,05:46,3:43:04,06:18,2:19:19,6:58:24
